iter	Passed	Remaining
588	2020	1409
589	2023	1406
590	2026	1402
591	2029	1398
592	2033	1395
593	2036	1392
594	2040	1388
595	2042	1384
596	2045	1381
597	2049	1377
598	2053	1374
599	2055	1370
600	2058	1366
601	2061	1363
602	2065	1359
603	2068	1356
604	2072	1352
605	2075	1349
606	2078	1345
607	2080	1341
608	2084	1338
609	2088	1335
610	2091	1331
611	2094	1328
612	2097	1324
613	2101	1321
614	2104	1317
615	2108	1314
616	2111	1310
617	2113	1306
618	2117	1303
619	2121	1300
620	2124	1296
621	2127	1293
622	2131	1289
623	2135	1286
624	2138	1282
625	2140	1279
626	2144	1275
627	2146	1271
628	2151	1268
629	2154	1265
630	2157	1261
631	2161	1258
632	2164	1255
633	2168	1251
634	2171	1248
635	2174	1244
636	2177	1240
637	2180	1237
638	2184	1234
639	2187	1230
640	2190	1226
641	2193	1223
642	2197	1220
643	2202	1217
644	2205	1213
645	2207	1209
646	2210	1206
647	2213	1202
648	2217	1199
649	2220	1195
650	2223	1191
651	2226	1188
652	2230	1185
653	2233	1181
654	2236	1178
655	2239	1174
656	2242	1170
657	2245	1167
658	2249	1163
659	2252	1160
660	2255	1156
661	2258	1153
662	2261	1149
663	2265	1146
664	2268	1142
665	2271	1139
666	2274	1135
667	2277	1131
668	2281	1129
669	2284	1125
670	2288	1121
671	2291	1118
672	2295	1115
673	2298	1111
674	2301	1108
675	2304	1104
676	2307	1100
677	2311	1097
678	2314	1094
679	2317	1090
680	2320	1087
681	2323	1083
682	2327	1080
683	2330	1076
684	2333	1073
685	2337	1069
686	2340	1066
687	2343	1062
688	2347	1059
689	2350	1055
690	2352	1052
691	2356	1048
692	2360	1045
693	2364	1042
694	2367	1038
695	2370	1035
696	2373	1031
697	2377	1028
698	2380	1025
699	2383	1021
700	2387	1018
701	2390	1014
702	2394	1011
703	2397	1008
704	2400	1004
705	2403	1000
706	2406	997
707	2410	994
708	2413	990
709	2416	987
710	2419	983
711	2422	980
712	2426	976
713	2430	973
714	2433	969
715	2436	966
716	2439	962
717	2443	959
718	2447	956
719	2450	952
720	2454	949
721	2458	946
